ticker,name,sector,industry,country,market_cap,n_years,fiscal_years,roic_avg,roic_trend,roic_latest,fcf_margin_avg,fcf_positive_years,fcf_years,rev_cagr,net_debt,ebitda_latest,nd_to_ebitda,net_cash,share_change,gm_avg,gm_std,exclude_reason,exchange,currency,price,market_cap_usd,dollar_volume_usd
FCFS,"FirstCash Holdings, Inc.",Financial Services,Credit Services,United States,9711813632.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NMS,USD,223.92,9711813632.0,107019205.0
NIO,NIO Inc.,Consumer Cyclical,Auto Manufacturers,China,9671874560.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,country China,NYQ,USD,3.86,9671874560.0,109739981.0
HLI,"Houlihan Lokey, Inc.",Financial Services,Capital Markets,United States,9564665856.0,4,"2023,2024,2025,2026",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NYQ,USD,136.86,9564665856.0,116212753.0
VOYA,"Voya Financial, Inc.",Financial Services,Financial Conglomerates,United States,9499933696.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NYQ,USD,104.86,9499933696.0,112510795.0
AMG,"Affiliated Managers Group, Inc.",Financial Services,Asset Management,United States,9469389824.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NYQ,USD,366.18,9469389824.0,107132916.0
JXN,Jackson Financial Inc.,Financial Services,Insurance - Life,United States,9438001152.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NYQ,USD,139.35,9438001152.0,86408566.0
LLYVK,"Liberty Live Holdings, Inc.",Communication Services,Entertainment,United States,9320144896.0,2,"2024,2025",,,,,,,,,,,,,,,only 2 years of statements,NMS,USD,101.3,9320144896.0,36816472.0
PRI,"Primerica, Inc.",Financial Services,Insurance - Life,United States,9166417920.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NYQ,USD,297.83,9166417920.0,57551776.0
PCVX,,,,,,0,,,,,,,,,,,,,,,,only 0 years of statements,NMS,USD,61.17,9102418944.0,80184817.0
YMM,Full Truck Alliance Co. Ltd.,Technology,Software - Application,China,8973771776.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,country China,NYQ,USD,8.58,8973771776.0,60340420.0
WAL,Western Alliance Bancorporation,Financial Services,Banks - Regional,United States,8837170176.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NYQ,USD,81.0,8837170176.0,83482083.0
LNC,Lincoln National Corporation,Financial Services,Insurance - Life,United States,8741484544.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NYQ,USD,45.66,8741484544.0,87392829.0
KNSL,"Kinsale Capital Group, Inc.",Financial Services,Insurance - Property & Casualty,United States,8723681280.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NYQ,USD,382.98,8723681280.0,112189395.0
PB,"Prosperity Bancshares, Inc.",Financial Services,Banks - Regional,United States,8703201280.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NYQ,USD,72.42,8703201280.0,82799596.0
COLB,"Columbia Banking System, Inc.",Financial Services,Banks - Regional,United States,8614374400.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NMS,USD,30.45,8614374400.0,90716670.0
SNEX,StoneX Group Inc.,Financial Services,Capital Markets,United States,8387687936.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NMS,USD,69.54,8387687936.0,87178821.0
CBSH,"Commerce Bancshares, Inc.",Financial Services,Banks - Regional,United States,8372135936.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NMS,USD,58.37,8372135936.0,67789517.0
BOKF,BOK Financial Corporation,Financial Services,Banks - Regional,United States,8346329600.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NMS,USD,137.35,8346329600.0,34327886.0
WULF,TeraWulf Inc.,Financial Services,Capital Markets,United States,8098261504.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NCM,USD,16.23,8098261504.0,532499321.0
MORN,"Morningstar, Inc.",Financial Services,Financial Data & Stock Exchanges,United States,8093927936.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NMS,USD,215.76,8093927936.0,87419263.0
IMVT,,,,,,0,,,,,,,,,,,,,,,,only 0 years of statements,NMS,USD,39.12,8080340992.0,49499005.0
THG,"The Hanover Insurance Group, Inc.",Financial Services,Insurance - Property & Casualty,United States,8067148288.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NYQ,USD,231.68,8067148288.0,73959206.0
SIMO,Silicon Motion Technology Corporation,Technology,Semiconductors,Hong Kong,7992056832.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,country Hong Kong,NMS,USD,235.7,7992056832.0,234628272.0
RIOT,"Riot Platforms, Inc.",Financial Services,Capital Markets,United States,7932974080.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NCM,USD,21.14,7932974080.0,389717908.0
PJT,PJT Partners Inc.,Financial Services,Capital Markets,United States,7915412992.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NYQ,USD,185.82,7915412992.0,84686722.0
DSV.TO,Discovery Mining Ltd.,Basic Materials,Silver,Canada,10852180992.0,1,2025,,,,,,,,,,,,,,,only 1 years of statements,TOR,CAD,13.33,7869373600.0,25269245.0
FAF,First American Financial Corporation,Financial Services,Insurance - Specialty,United States,7811671040.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NYQ,USD,76.51,7811671040.0,65942362.0
SYRE,"Spyre Therapeutics, Inc.",Healthcare,Biotechnology,United States,7693160448.0,2,"2022,2023",,,,,,,,,,,,,,,only 2 years of statements,NMS,USD,87.25,7693160448.0,115478516.0
VLY,Valley National Bancorp,Financial Services,Banks - Regional,United States,7681212928.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NMS,USD,13.9,7681212928.0,94351421.0
GGAL,Grupo Financiero Galicia S.A.,Financial Services,Banks - Regional,Argentina,7562707456.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NCM,USD,44.63,7562707456.0,45648323.0
BZ,Kanzhun Limited,Communication Services,Internet Content & Information,China,7525574144.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,country China,NMS,USD,16.84,7525574144.0,76772381.0
OMF,"OneMain Holdings, Inc.",Financial Services,Credit Services,United States,7429378560.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NYQ,USD,64.58,7429378560.0,66028659.0
OKLO,,,,,,0,,,,,,,,,,,,,,,,only 0 years of statements,NYQ,USD,39.84,7410942976.0,388250242.0
AXS,AXIS Capital Holdings Limited,Financial Services,Insurance - Specialty,Bermuda,7398785024.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NYQ,USD,101.4,7398785024.0,70857914.0
NXE,,,,,,0,,,,,,,,,,,,,,,,only 0 years of statements,NYQ,USD,10.67,7154300416.0,57020875.0
PDI,PIMCO Dynamic Income Fund,Financial Services,Asset Management,United States,7057319936.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NYQ,USD,15.29,7057319936.0,47011337.0
VCTR,"Victory Capital Holdings, Inc.",Financial Services,Asset Management,United States,6978875904.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NMS,USD,113.46,6978875904.0,61515062.0
BLTE,,,,,,0,,,,,,,,,,,,,,,,only 0 years of statements,NCM,USD,171.09,6890161152.0,32492386.0
SRRK,Scholar Rock Holding Corporation,Healthcare,Biotechnology,United States,6812668416.0,1,2022,,,,,,,,,,,,,,,only 1 years of statements,NMS,USD,55.94,6812668416.0,73756890.0
ACT,"Enact Holdings, Inc.",Financial Services,Insurance - Specialty,United States,6806815744.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NMS,USD,49.51,6806815744.0,17010745.0
TAL,TAL Education Group,Consumer Defensive,Education & Training Services,China,6650867712.0,4,"2023,2024,2025,2026",,,,,,,,,,,,,,,country China,NYQ,USD,11.99,6650867712.0,52983366.0
FNB,F.N.B. Corporation,Financial Services,Banks - Regional,United States,6574653440.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NYQ,USD,18.47,6574653440.0,88353979.0
STEP,StepStone Group Inc.,Financial Services,Asset Management,United States,6571663360.0,4,"2023,2024,2025,2026",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NMS,USD,50.91,6571663360.0,70818661.0
BILI,Bilibili Inc.,Communication Services,Internet Content & Information,China,6486839296.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,country China,NMS,USD,15.5,6486839296.0,38698990.0
UBSI,"United Bankshares, Inc.",Financial Services,Banks - Regional,United States,6480489472.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NMS,USD,47.59,6480489472.0,46858637.0
MTG,MGIC Investment Corporation,Financial Services,Insurance - Specialty,United States,6455278080.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NYQ,USD,31.47,6455278080.0,55629550.0
ESNT,Essent Group Ltd.,Financial Services,Insurance - Specialty,Bermuda,6258100224.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NYQ,USD,69.63,6258100224.0,50599773.0
CACC,Credit Acceptance Corporation,Financial Services,Credit Services,United States,6244749312.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NMS,USD,601.58,6244749312.0,92073022.0
GDS,GDS Holdings Limited,Technology,Information Technology Services,China,6235751424.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,country China,NGM,USD,31.12,6235751424.0,62721706.0
VIPS,Vipshop Holdings Limited,Consumer Cyclical,Internet Retail,China,6219539968.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,country China,NYQ,USD,13.08,6219539968.0,33115499.0
