ticker,name,exchange,currency,price,market_cap_usd,dollar_volume_usd,first_trade,fifty_two_week_high,pulled,source
CNX,CNX Resources Corporation,NYQ,USD,37.77,5587831296.0,65051498.0,1999-04-30,43.62,2026-09-04,Yahoo Finance screener via yfinance
WPP,WPP plc,NYQ,USD,25.9,5586757120.0,13124566.0,1987-12-29,27.78,2026-09-04,Yahoo Finance screener via yfinance
NOVT,Novanta Inc.,NMS,USD,147.24,5568288256.0,71745046.0,1999-03-24,176.38,2026-09-04,Yahoo Finance screener via yfinance
CROX,"Crocs, Inc.",NMS,USD,116.01,5562108416.0,123925594.0,2006-02-08,141.28,2026-09-04,Yahoo Finance screener via yfinance
SIGI,"Selective Insurance Group, Inc.",NMS,USD,93.2,5551841792.0,49613902.0,1980-03-17,100.4,2026-09-04,Yahoo Finance screener via yfinance
PECO,"Phillips Edison & Company, Inc.",NMS,USD,39.18,5541875712.0,38728529.0,2021-02-25,44.375,2026-09-04,Yahoo Finance screener via yfinance
AX,"Axos Financial, Inc.",NYQ,USD,97.04,5505472000.0,35022027.0,2005-03-16,105.74,2026-09-04,Yahoo Finance screener via yfinance
PIPR,Piper Sandler Companies,NYQ,USD,77.75,5494615040.0,45600453.0,2004-01-02,95.065,2026-09-04,Yahoo Finance screener via yfinance
CRGY,Crescent Energy Company,NYQ,USD,13.96,5491907584.0,81701752.0,2021-12-08,14.535,2026-09-04,Yahoo Finance screener via yfinance
ADT,ADT Inc.,NYQ,USD,7.51,5486499840.0,60477069.0,2018-01-19,8.935,2026-09-04,Yahoo Finance screener via yfinance
BCPC,Balchem Corporation,NMS,USD,171.74,5474731520.0,37097214.0,1986-06-03,183.9,2026-09-04,Yahoo Finance screener via yfinance
NXST,"Nexstar Media Group, Inc.",NMS,USD,177.67,5473710592.0,69014312.0,2003-11-25,254.3,2026-09-04,Yahoo Finance screener via yfinance
OZK,Bank OZK,NMS,USD,50.17,5470416896.0,59025005.0,1997-07-17,53.66,2026-09-04,Yahoo Finance screener via yfinance
CRSP,CRISPR Therapeutics AG,NGM,USD,56.49,5462168064.0,90619507.0,2016-10-19,78.48,2026-09-04,Yahoo Finance screener via yfinance
