ticker,close,date
CNX,32.63,2026-09-21
CNXC,26.73,2026-09-21
CNXN,85.69,2026-09-21
COCO,56.97,2026-09-21
COHR,328.8283,2026-09-21
COHU,60.55,2026-09-21
COKE,191.9625,2026-09-21
COLD,14.545,2026-09-21
COLM,56.7,2026-09-21
COMP,10.335,2026-09-21
COO,54.84,2026-09-21
COP,127.44,2026-09-21
COR,312.93,2026-09-21
CORT,116.15,2026-09-21
COST,896.45,2026-09-21
COTY,2.4908,2026-09-21
CP,87.315,2026-09-21
CPA,135.05,2026-09-21
CPAY,397.99,2026-09-21
CPB,20.315,2026-09-21
CPK,131.515,2026-09-21
CPNG,14.66,2026-09-21
CPRT,29.25,2026-09-21
CPT,99.385,2026-09-21
CPX.TO,62.14,2026-09-21
CR,199.19,2026-09-21
CRC,52.77,2026-09-21
CRDO,184.615,2026-09-21
CRGY,13.235,2026-09-21
CRH,86.81,2026-09-21
CRK,12.63,2026-09-21
CRL,276.69,2026-09-21
CRM,237.7,2026-09-21
CRNX,84.95,2026-09-21
CROX,123.65,2026-09-21
CRS,403.7325,2026-09-21
CRSP,58.67,2026-09-21
CRUS,119.6075,2026-09-21
CRWD,247.205,2026-09-21
CS.TO,14.63,2026-09-21
CSCO,109.5708,2026-09-21
CSGP,29.575,2026-09-21
CSL,315.415,2026-09-21
CSTM,25.81,2026-09-21
CSU.TO,2834.3501,2026-09-21
CSW,291.13,2026-09-21
CSX,46.05,2026-09-21
CTAS,197.985,2026-09-21
CTRE,37.57,2026-09-21
CTSH,60.089,2026-09-21
CTVA,79.95,2026-09-21
CU.TO,50.81,2026-09-21
CUBE,39.72,2026-09-21
CUZ,28.33,2026-09-21
CVCO,543.92,2026-09-21
CVE,31.86,2026-09-21
CVI,53.87,2026-09-21
CVLT,146.54,2026-09-21
CVNA,67.415,2026-09-21
CVS,87.785,2026-09-21
CVSA,126.36,2026-09-21
CVX,204.88,2026-09-21
CW,571.6716,2026-09-21
CWEN,31.0,2026-09-21
CWK,12.74,2026-09-21
CWST,88.62,2026-09-21
CWT,47.57,2026-09-21
CX,10.09,2026-09-21
CXT,45.77,2026-09-21
CXW,32.76,2026-09-21
CYTK,67.595,2026-09-21
CZR,29.665,2026-09-21
D,63.325,2026-09-21
DAL,81.29,2026-09-21
DAN,30.3,2026-09-21
DAR,63.48,2026-09-21
DASH,194.275,2026-09-21
DAVE,349.355,2026-09-21
DBD,62.94,2026-09-21
DBX,35.89,2026-09-21
DCO,168.42,2026-09-21
DD,130.62,2026-09-21
DDOG,241.13,2026-09-21
DE,690.83,2026-09-21
DECK,79.86,2026-09-21
DELL,574.325,2026-09-21
DEO,86.61,2026-09-21
DG,123.2,2026-09-21
DGII,72.105,2026-09-21
DGX,245.735,2026-09-21
DHI,139.235,2026-09-21
DHR,213.695,2026-09-21
DHT,22.515,2026-09-21
DINO,112.375,2026-09-21
DIOD,91.51,2026-09-21
DIS,104.35,2026-09-21
DJT,9.27,2026-09-21
DK,74.86,2026-09-21
DKNG,22.075,2026-09-21
DKS,123.65,2026-09-21
DLB,58.215,2026-09-21
DLO,14.405,2026-09-21
DLR,186.785,2026-09-21
DLTR,114.46,2026-09-21
DML.TO,4.03,2026-09-21
DNOW,15.59,2026-09-21
DNTH,97.61,2026-09-21
DOC,20.445,2026-09-21
DOCN,147.565,2026-09-21
DOCS,26.555,2026-09-21
DOCU,68.59,2026-09-21
DOO.TO,82.01,2026-09-21
DORM,121.0,2026-09-21
DOV,186.8901,2026-09-21
DOW,28.105,2026-09-21
DOX,59.56,2026-09-21
DPM.TO,59.9,2026-09-21
DPZ,296.485,2026-09-21
DRH,12.23,2026-09-21
